Report Title: student wireless,,,,,,,,,,
Generated: Jun-01-2022, 11:28:12 EDT,,,,,,,,,
Report By:SSID,,,,,,,,,,
SSID: PASD-Student,,,,,,,,,,
Connection Protocol: All Wireless (802.11),,,,,,,,,,
Reporting Period:Last 4 Weeks,,,,,,,,,,
 ,,,,,,,,,,
Unique Clients,,,,,,,,,,
Last Association Time,User,MAC Address,Vendor,IP Address,AP Name,802.11 State,SSID,Profile,Protocol,AP Map Location
Wed Jun 01 08:04:29 EDT 2022,host/22-D37-DJJ8YZ2.pasdphantoms.net,08:d2:3e:8a:93:f0,Unknown,10.111.24.113,PAHS-Cafe02.9008,Disassociated,PASD-Student,PASD-Student,802.11n(2.4GHz),System Campus > High School > HS 1st Floor
Tue May 31 11:29:31 EDT 2022,host/22-D39-8G73103.pasdphantoms.net,8c:c6:81:36:02:d6,Unknown,10.111.17.9,PAHS-F14.9244,Disassociated,PASD-Student,PASD-Student,802.11ac,System Campus > High School > HS 1st Floor
Tue May 31 13:00:08 EDT 2022,host/22-D44-G1TX8G3.pasdphantoms.net,d0:3c:1f:c4:77:55,Unknown,10.111.17.3,PAHS-G5.C0BE,Disassociated,PASD-Student,PASD-Student,802.11ac,System Campus > High School > HS 1st Floor
Wed Jun 01 10:50:29 EDT 2022,host/22-D45-JXSX8G3.pasdphantoms.net,d0:3c:1f:ce:1c:01,Unknown,10.111.16.213,PAHS-I2.9C72,Disassociated,PASD-Student,PASD-Student,802.11ac,System Campus > High School > 2nd Floor
Thu May 26 09:07:29 EDT 2022,host/22-D47-HZSX8G3.pasdphantoms.net,d0:3c:1f:ce:12:65,Unknown,10.181.24.76,DAO-TECH.9184,Disassociated,PASD-Student,PASD-Student,802.11ac,System Campus > DAO > 2nd Floor
Wed Jun 01 10:10:13 EDT 2022,host/22-F11-3F73103.pasdphantoms.net,8c:c6:81:30:ac:1e,Unknown,10.111.24.240,PAHS-D6.9250,Associated,PASD-Student,PASD-Student,802.11ac,System Campus > High School > HS 1st Floor
Thu May 26 12:18:36 EDT 2022,host/22-F13-3S63103.pasdphantoms.net,8c:c6:81:33:85:c4,Unknown,10.111.16.124,PAHS-J8.dbd0,Disassociated,PASD-Student,PASD-Student,802.11ac,System Campus > High School > 2nd Floor
Tue May 31 14:20:37 EDT 2022,host/22-F18-28XW203.pasdphantoms.net,ac:12:03:53:c8:5c,Unknown,10.111.24.109,PAHS-D6.9250,Disassociated,PASD-Student,PASD-Student,802.11ac,System Campus > High School > HS 1st Floor
Fri May 27 11:23:42 EDT 2022,host/22-F23-7KJ8YZ2.pasdphantoms.net,08:d2:3e:cd:ea:33,Unknown,10.111.16.81,PAHS-G5.C0BE,Disassociated,PASD-Student,PASD-Student,802.11ac,System Campus > High School > HS 1st Floor
Tue May 31 14:55:51 EDT 2022,host/22-F24-J5XW203.pasdphantoms.net,ac:12:03:52:3d:57,Unknown,10.111.16.73,PAHS-B6.9aec,Disassociated,PASD-Student,PASD-Student,802.11ac,System Campus > High School > HS 1st Floor
Wed Jun 01 11:20:41 EDT 2022,host/23-A02-4HJ8YZ2.pasdphantoms.net,08:d2:3e:8a:7a:c8,Unknown,10.111.25.16,PAHS-CAFE-01.8f58,Associated,PASD-Student,PASD-Student,802.11ac,System Campus > High School > HS 1st Floor
Fri May 27 08:18:01 EDT 2022,host/23-A04-1RK8YZ2.pasdphantoms.net,08:d2:3e:c9:8b:50,Unknown,10.111.24.238,PAHS-E13.1940,Disassociated,PASD-Student,PASD-Student,802.11ac,System Campus > High School > HS 1st Floor
Wed Jun 01 10:20:17 EDT 2022,host/23-A05-8QK8YZ2.pasdphantoms.net,08:d2:3e:c9:85:a1,Unknown,10.111.16.123,PAHS-H9.1118,Disassociated,PASD-Student,PASD-Student,802.11ac,System Campus > High School > 2nd Floor
Wed Jun 01 11:25:43 EDT 2022,host/23-A06-F8J8YZ2.pasdphantoms.net,08:d2:3e:b0:7d:a9,Unknown,10.111.25.3,PAHS-E14.FBE4,Associated,PASD-Student,PASD-Student,802.11ac,System Campus > High School > HS 1st Floor
Tue May 31 15:00:51 EDT 2022,host/23-A07-2WG2103.pasdphantoms.net,a8:7e:ea:78:42:86,Unknown,10.121.16.201,PAMS-GYM06.0E40,Disassociated,PASD-Student,PASD-Student,802.11ac,System Campus > Middle School > Middle School Ground Floor
Wed Jun 01 10:25:19 EDT 2022,host/23-A08-6QK8YZ2.pasdphantoms.net,08:d2:3e:c9:9a:a0,Unknown,10.121.24.64,PAMS-323.A658,Disassociated,PASD-Student,PASD-Student,802.11ac,System Campus > Middle School > Middle School 3rd Floor
Wed Jun 01 09:19:52 EDT 2022,host/23-A09-77J8YZ2.pasdphantoms.net,08:d2:3e:cc:a3:85,Unknown,10.111.16.249,PAHS-F12.03F0,Disassociated,PASD-Student,PASD-Student,802.11ac,System Campus > High School > HS 1st Floor
Wed Jun 01 09:24:54 EDT 2022,host/23-A10-CPJ8YZ2.pasdphantoms.net,08:d2:3e:ce:4b:ef,Unknown,10.111.24.232,PAHS-AUDITORIUM-02,Disassociated,PASD-Student,PASD-Student,802.11ac,System Campus > High School > HS 1st Floor
Wed Jun 01 11:10:37 EDT 2022,host/23-A11-JNJ8YZ2.pasdphantoms.net,08:d2:3e:cd:e7:e0,Unknown,10.111.16.242,PAHS-E15.FB88,Disassociated,PASD-Student,PASD-Student,802.11ac,System Campus > High School > HS 1st Floor
Wed Jun 01 11:20:41 EDT 2022,host/23-A12-FNJ8YZ2.pasdphantoms.net,08:d2:3e:ce:3f:d3,Unknown,10.111.16.230,PAHS-F10.9876,Associated,PASD-Student,PASD-Student,802.11ac,System Campus > High School > HS 1st Floor
Wed Jun 01 09:50:05 EDT 2022,host/23-A14-GKJ8YZ2.pasdphantoms.net,08:d2:3e:ce:4d:07,Unknown,10.111.16.93,PAHS-J15.7880,Disassociated,PASD-Student,PASD-Student,802.11ac,System Campus > High School > 2nd Floor
Wed Jun 01 11:25:44 EDT 2022,host/23-A15-585X203.pasdphantoms.net,ac:12:03:52:16:dd,Unknown,10.111.16.234,PAHS-AUDITORIUM-02,Associated,PASD-Student,PASD-Student,802.11ac,System Campus > High School > HS 1st Floor
Wed Jun 01 11:20:41 EDT 2022,host/23-A16-4PJ8YZ2.pasdphantoms.net,08:d2:3e:cd:e8:0d,Unknown,10.111.24.242,PAHS-AUDITORIUM-01,Disassociated,PASD-Student,PASD-Student,802.11n(2.4GHz),System Campus > High School > HS 1st Floor
Wed Jun 01 10:45:27 EDT 2022,host/23-A17-2L65LT2.pasdphantoms.net,a0:51:0b:53:3f:ef,Intel Corporate,10.111.17.29,PAHS-F3.905c,Disassociated,PASD-Student,PASD-Student,802.11n(2.4GHz),System Campus > High School > HS 1st Floor
Tue May 31 13:40:20 EDT 2022,host/23-A19-5MJ8YZ2.pasdphantoms.net,08:d2:3e:cd:e7:f9,Unknown,10.111.17.23,PAHS-I5.C0CE,Disassociated,PASD-Student,PASD-Student,802.11ac,System Campus > High School > 2nd Floor
Wed Jun 01 11:20:41 EDT 2022,host/23-A20-DKJ8YZ2.pasdphantoms.net,08:d2:3e:cd:ea:60,Unknown,10.111.17.10,PAHS-I13.ace0,Associated,PASD-Student,PASD-Student,802.11ac,System Campus > High School > 2nd Floor
Fri May 27 11:38:46 EDT 2022,host/23-A23-97J8YZ2.pasdphantoms.net,08:d2:3e:cc:3a:f8,Unknown,10.111.24.61,Fieldhouse.7c00,Disassociated,PASD-Student,PASD-Student,802.11n(2.4GHz),
Wed Jun 01 11:20:41 EDT 2022,host/23-A24-2VK8YZ2.pasdphantoms.net,08:d2:3e:c8:bd:24,Unknown,10.111.24.161,PAHS-J1.fabc,Associated,PASD-Student,PASD-Student,802.11ac,System Campus > High School > 2nd Floor
Tue May 31 12:14:49 EDT 2022,host/23-A28-5WK8YZ2.pasdphantoms.net,08:d2:3e:8a:db:30,Unknown,10.111.25.71,PAHS-J8.dbd0,Disassociated,PASD-Student,PASD-Student,802.11ac,System Campus > High School > 2nd Floor
Wed Jun 01 10:45:27 EDT 2022,host/23-A31-8PJ8YZ2.pasdphantoms.net,08:d2:3e:cd:e7:77,Unknown,10.111.25.29,PAHS-F8.4b74,Disassociated,PASD-Student,PASD-Student,802.11ac,System Campus > High School > HS 1st Floor
Wed Jun 01 11:25:43 EDT 2022,host/23-A34-8NJ8YZ2.pasdphantoms.net,08:d2:3e:ce:4c:99,Unknown,10.111.24.153,PAHS-I14.fc20,Associated,PASD-Student,PASD-Student,802.11ac,System Campus > High School > 2nd Floor
Wed Jun 01 10:35:23 EDT 2022,host/23-A36-4YK8YZ2.pasdphantoms.net,08:d2:3e:cd:18:33,Unknown,10.111.16.132,PAHS-D6.9250,Disassociated,PASD-Student,PASD-Student,802.11ac,System Campus > High School > HS 1st Floor
Wed Jun 01 09:50:05 EDT 2022,host/23-A37-1BH2103.pasdphantoms.net,a8:7e:ea:fb:71:0b,Unknown,10.111.24.141,PAHS-H9.1118,Disassociated,PASD-Student,PASD-Student,802.11ac,System Campus > High School > 2nd Floor
Wed Jun 01 10:50:29 EDT 2022,host/23-A38-3TK8YZ2.pasdphantoms.net,08:d2:3e:c8:b1:f3,Unknown,10.111.16.183,PAHS-I8.A51A,Disassociated,PASD-Student,PASD-Student,802.11ac,System Campus > High School > 2nd Floor
Wed Jun 01 10:40:25 EDT 2022,host/23-A39-DSK8YZ2.pasdphantoms.net,08:d2:3e:c9:39:ed,Unknown,10.111.16.116,PAHS-E15.FB88,Disassociated,PASD-Student,PASD-Student,802.11ac,System Campus > High School > HS 1st Floor
Wed Jun 01 11:20:42 EDT 2022,host/23-A40-6V4P003.pasdphantoms.net,a8:7e:ea:7a:4e:d7,Unknown,10.111.24.134,PAHS-F10.9876,Associated,PASD-Student,PASD-Student,802.11ac,System Campus > High School > HS 1st Floor
Tue May 31 14:30:40 EDT 2022,host/23-A41-2NJ8YZ2.pasdphantoms.net,08:d2:3e:ce:4c:76,Unknown,10.111.24.231,PAHS-H3.0DDA,Disassociated,PASD-Student,PASD-Student,802.11ac,System Campus > High School > 2nd Floor
Wed Jun 01 11:20:41 EDT 2022,host/23-A43-G6J8YZ2.pasdphantoms.net,08:d2:3e:cc:a3:99,Unknown,10.111.24.226,PAHS-G5.C0BE,Associated,PASD-Student,PASD-Student,802.11ac,System Campus > High School > HS 1st Floor
Wed Jun 01 11:20:42 EDT 2022,host/23-A44-7XK2103.pasdphantoms.net,8c:c6:81:31:fe:a7,Unknown,10.111.16.144,PAHS-CAFE-03.aa48,Associated,PASD-Student,PASD-Student,802.11ac,System Campus > High School > HS 1st Floor
Wed Jun 01 09:14:50 EDT 2022,host/23-A46-9YK8YZ2.pasdphantoms.net,08:d2:3e:cd:0e:1a,Unknown,10.111.24.101,PAHS-E1.0FA2,Associated,PASD-Student,PASD-Student,802.11ac,System Campus > High School > HS 1st Floor
Tue May 31 14:15:34 EDT 2022,host/23-A49-7B90RT2.pasdphantoms.net,40:74:e0:c2:fd:3a,Intel Corporate,10.111.24.194,PAHS-J8.dbd0,Disassociated,PASD-Student,PASD-Student,802.11ac,System Campus > High School > 2nd Floor
Wed Jun 01 09:55:07 EDT 2022,host/23-B02-5GJ2103.pasdphantoms.net,8c:c6:81:34:1e:0d,Unknown,10.111.25.120,PAHS-G6.C1F0,Disassociated,PASD-Student,PASD-Student,802.11ac,System Campus > High School > HS 1st Floor
